,title,type,issue,date
5570,Readout of President Donald J. Trump’s Call with President Moon Jae-In of the Republic of Korea,Statements & Releases,Foreign Policy,"May 9, 2018"
5571,Remarks by the First Lady at the Celebration of Military Mothers and Spouses Event,Remarks,Veterans,"May 9, 2018"
5572,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"May 9, 2018"
5573,President Donald J. Trump Signs S. 447 into Law,Statements & Releases,Foreign Policy,"May 9, 2018"
5574,Executive Order Enhancing Noncompetitive Civil Service Appointments of Military Spouses,Executive Orders,Veterans,"May 9, 2018"
5575,Remarks by President Trump at the Celebration of Military Mothers and Spouses Event,Remarks,Veterans,"May 9, 2018"
5576,Letter to Congressional Committees Regarding Reports on the United States Strategy to Defeat ISIS and on United States Use of Military Force,Statements & Releases,National Security & Defense,"May 9, 2018"
5577,President Donald J. Trump is Enhancing Opportunity for Military Families,Fact Sheets,Veterans,"May 9, 2018"
5578,Remarks by Vice President Pence at a Working Lunch with the Council of the Americas on U.S. Engagement in the Western Hemisphere,Remarks,Foreign Policy,"May 9, 2018"
5579,WTAS: Support For President Donald J. Trump’s Decision To End United States Participation In The Iran Deal,News Clips,Foreign Policy,"May 9, 2018"
5580,CEA Report: Military Spouses in the Labor Market,Statements & Releases,Economy & Jobs,"May 9, 2018"
5581,Remarks by President Trump in Cabinet Meeting,Remarks,Other,"May 9, 2018"
5582,Gina Haspel Continues To Earn Widespread Support,News Clips,Other,"May 9, 2018"
5583,Advancing Responsible Regulatory Reform: The Deregulatory Agenda,Other,Budget & Spending,"May 9, 2018"
5584,Presidential Message to the Congress of the United States,Statements & Releases,Foreign Policy,"May 9, 2018"
5585,Notice Regarding the Continuation of the National Emergency with Respect to the Actions of the Government of Syria,Statements & Releases,Foreign Policy,"May 9, 2018"
5586,What You Need to Know About the Surge in Illegal Border Crossings and the Failures of Our Current Immigration System,Other,Immigration,"May 9, 2018"
5587,Statement from Vice President Mike Pence on the Release of Three Americans,Statements & Releases,Foreign Policy,"May 9, 2018"
5588,Statement from the Press Secretary on the Release of Three Americans,Statements & Releases,Foreign Policy,"May 9, 2018"
5589,Readout of President Donald J. Trump’s Call with President Emmanuel Macron of France,Statements & Releases,Foreign Policy,"May 8, 2018"
5590,Gina Haspel Has Defended Our National Security,Fact Sheets,Other,"May 8, 2018"
5591,Press Briefing by National Security Advisor John Bolton on Iran,Press Briefings,Other,"May 8, 2018"
5592,Remarks from First Lady Melania Trump at Today’s Spouses of the Senate Luncheon,Remarks,Other,"May 8, 2018"
5593,Presidential Message to the Congress of the United States,Statements & Releases,Budget & Spending,"May 8, 2018"
5594,Presidential Message to the Congress of the United States,Statements & Releases,Foreign Policy,"May 8, 2018"
5595,Ceasing U.S. Participation in the JCPOA and Taking Additional Action to Counter Iran’s Malign Influence and Deny Iran All Paths to a Nuclear Weapon,Presidential Memoranda,Foreign Policy,"May 8, 2018"
5596,Remarks by President Trump on the Joint Comprehensive Plan of Action,Remarks,Foreign Policy,"May 8, 2018"
5597,President Donald J. Trump is Ending United States Participation in an Unacceptable Iran Deal,Fact Sheets,Foreign Policy,"May 8, 2018"
5598,Statement from the Press Secretary on the Civil War in South Sudan,Statements & Releases,Foreign Policy,"May 8, 2018"
5599,The White House Announces Its Rescission Package,Other,Budget & Spending,"May 8, 2018"
5600,Readout of President Donald J. Trump’s Call with President Xi Jinping of China,Statements & Releases,Foreign Policy,"May 8, 2018"
5601,Statement from the Communications Director,Statements & Releases,Other,"May 8, 2018"
5602,President Donald J. Trump Approves North Carolina Disaster Declaration,Statements & Releases,Land & Agriculture,"May 8, 2018"
5603,President Donald J. Trump is Protecting American Taxpayer Dollars,Other,Budget & Spending,"May 8, 2018"
5604,President Donald J. Trump Approves Hawaii Disaster Declaration,Statements & Releases,Land & Agriculture,"May 8, 2018"
5605,"President Donald J. Trump Proclaims May 7, 2018, as Be Best Day",Proclamations,Other,"May 7, 2018"
5606,Readout of Vice President Mike Pence’s Meeting with United Kingdom Foreign Secretary Boris Johnson,Statements & Releases,Foreign Policy,"May 7, 2018"
5607,Statement from the Press Secretary Regarding H.R.5674 – the VA MISSION Act of 2018,Statements & Releases,Veterans,"May 7, 2018"
5608,Remarks by President Trump at the Launch of the First Lady’s Initiatives,Remarks,Other,"May 7, 2018"
5609,President Donald J. Trump to Award the Medal of Honor,Statements & Releases,Other,"May 7, 2018"
5610,Remarks by the First Lady at the Launch of the “Be Best” Initiative,Remarks,Other,"May 7, 2018"
5611,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"May 7, 2018"
5612,Presidential Message to the Congress of the United States,Statements & Releases,Foreign Policy,"May 7, 2018"
5613,Fifteen Nominations Sent to the Senate Today,Nominations & Appointments,Other,"May 7, 2018"
5614,Remarks by Vice President Pence During a Protocolary Meeting at the Organization of American States,Remarks,Foreign Policy,"May 7, 2018"
5615,President Donald J. Trump Signs H.R. 4300 into Law,Statements & Releases,Veterans,"May 7, 2018"
5616,First Lady Melania Trump Announces “Be Best”: A Campaign to Address the Major Issues Facing Children Today,Statements & Releases,Other,"May 7, 2018"
5617,"President Trump Announces Presidential Delegation to the State of Israel to Attend the Opening of the United States Embassy in Jerusalem, Israel",Statements & Releases,Foreign Policy,"May 7, 2018"
5618,Gina Haspel is the Best Choice for CIA Director,News Clips,Other,"May 7, 2018"
5619,Pay It Forward: Join with All of Us Research Program to Build a Healthier Future,Other,Healthcare,"May 7, 2018"
5620,Remarks by President Trump at a Roundtable Discussion on Tax Reform,Remarks,Budget & Spending,"May 6, 2018"
5621,Readout of President Donald J. Trump’s Call with Prime Minister Theresa May of the United Kingdom,Statements & Releases,Foreign Policy,"May 5, 2018"
5622,Presidential Message on Cinco de Mayo,Statements & Releases,Other,"May 5, 2018"
5623,Statement from the Press Secretary on China’s Political Correctness,Statements & Releases,Foreign Policy,"May 5, 2018"
5624,President Donald J. Trump Approves Indiana Disaster Declaration,Statements & Releases,Land & Agriculture,"May 5, 2018"
5625,Readout of Assistant to the President for National Security Affairs John R. Bolton’s Meeting with National Security Advisor to the Prime Minister Shotaro Yachi of Japan,Statements & Releases,Foreign Policy,"May 5, 2018"
5626,"President Donald J. Trump Proclaims May 6 through May 12, 2018, as Public Service Recognition Week",Proclamations,Other,"May 4, 2018"
5627,"President Donald J. Trump Proclaims May 6 through May 12, 2018, as National Hurricane Preparedness Week",Proclamations,Land & Agriculture,"May 4, 2018"
5628,"President Donald J. Trump Proclaims May 6 through May 12, 2018, as National Charter Schools Week",Proclamations,Education,"May 4, 2018"
5629,Readout of Assistant to the President for National Security Affairs John R. Bolton’s Meeting with National Security Office Director Chung Eui-yong of the Republic of Korea,Other,Foreign Policy,"May 4, 2018"
5630,Statement from the Press Secretary on the Visit of President Moon Jae-in of the Republic of Korea,Statements & Releases,Foreign Policy,"May 4, 2018"
5631,An Ohio Family’s Letter to President Trump,Other,Budget & Spending,"May 4, 2018"
5632,"As May Flowers Bloom, A Closer Look at White House Gardens Past and Present",Other,Other,"May 4, 2018"
5633,What You Need to Know About the April Jobs Report,Other,Economy & Jobs,"May 4, 2018"
5634,Remarks by Vice President Pence at the National Rifle Association Leadership Forum,Remarks,Law & Justice,"May 4, 2018"
5635,Statement on the United States Trade Delegation’s Visit to Beijing,Statements & Releases,Foreign Policy,"May 4, 2018"
5636,"Remarks by President Trump Aboard Air Force One en route Dallas, Texas",Remarks,Other,"May 4, 2018"
5637,Remarks by President Trump Before Air Force One Departure,Remarks,Other,"May 4, 2018"
5638,Remarks by President Trump Before Marine One Departure,Remarks,Foreign Policy,"May 4, 2018"
5639,Small Business Is Booming Across the United States,News Clips,Economy & Jobs,"May 4, 2018"
5640,Strong Job Growth Brings Renewed Labor Force Participation for Prime-Aged Workers,Other,Economy & Jobs,"May 4, 2018"
5641,Military Service Members Combat Pain through Music Therapy,Other,Healthcare,"May 4, 2018"
5642,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts,Nominations & Appointments,Other,"May 4, 2018"
5643,Empowering American Small Businesses,News Clips,Budget & Spending,"May 4, 2018"
5644,Readout of President Donald J. Trump’s Meeting Regarding Election Security,Statements & Releases,Other,"May 4, 2018"
5645,Presidential Message in Commemoration of the 76th Anniversary of the Battle of the Coral Sea,Statements & Releases,Foreign Policy,"May 3, 2018"
5646,President Trump Announces Presidential Delegation to the Republic of Sierra Leone to Attend the Inauguration of His Excellency Julius Maada Bio,Statements & Releases,Foreign Policy,"May 3, 2018"
5647,Empowered Patients Are the Future of Health Care,Other,Healthcare,"May 3, 2018"
5648,The Future Is in Supercomputers,Other,Infrastructure & Technology,"May 3, 2018"
5649,Remarks by Vice President Pence at Swearing-In Ceremony of Richard Grenell as U.S. Ambassador To Germany,Remarks,Other,"May 3, 2018"
5650,SBA Boosts Woman’s Dream to Expand Business,Other,Economy & Jobs,"May 3, 2018"
5651,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"May 3, 2018"
5652,A Confident and Growing United States Economy,News Clips,Economy & Jobs,"May 3, 2018"
5653,Statement by the Press Secretary on Ken Isaacs,Statements & Releases,Other,"May 3, 2018"
5654,Statement from the Press Secretary on the Terrorist Attacks in Nigeria,Statements & Releases,Foreign Policy,"May 3, 2018"
5655,Statement from the Press Secretary on Religious Violence in the Central African Republic,Statements & Releases,Foreign Policy,"May 3, 2018"
5656,Remarks by Vice President Pence at National Day of Prayer,Remarks,Other,"May 3, 2018"
5657,Remarks by President Trump at the National Day of Prayer,Remarks,Other,"May 3, 2018"
5658,Executive Order on the Establishment of a White House Faith and Opportunity Initiative,Executive Orders,Law & Justice,"May 3, 2018"
5659,President Donald J. Trump Stands Up For Religious Freedom In The United States,Fact Sheets,Law & Justice,"May 3, 2018"
5660,President Donald J. Trump Proclaims May 3 as a National Day of Prayer,Proclamations,Other,"May 3, 2018"
5661,Remarks by President Trump at the National Teacher of the Year Reception,Remarks,Education,"May 2, 2018"
5662,Remarks by Vice President Pence at Swearing-In Ceremony of Carlos Trujillo as U.S. Permanent Representative to the Organization of American States,Remarks,Other,"May 2, 2018"
5663,Art Saves Lives,Other,Healthcare,"May 2, 2018"
