,title,type,issue,date
0,Executive Order on the Revocation of Executive Order 13770,Executive Orders,Other,"Jan 20, 2021"
1,Statement from the Press Secretary Regarding Executive Grants of Clemency,Statements & Releases,Law & Justice,"Jan 20, 2021"
2,Executive Order on Care Of Veterans With Service In Uzbekistan,Executive Orders,Veterans,"Jan 19, 2021"
3,Memorandum on  Deferred Enforced Departure for Certain Venezuelans,Presidential Memoranda,Foreign Policy,"Jan 19, 2021"
4,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,National Security & Defense,"Jan 19, 2021"
5,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,National Security & Defense,"Jan 19, 2021"
6,Executive Order on Taking Additional Steps to Address the National Emergency with Respect to Significant Malicious Cyber-Enabled Activities,Executive Orders,National Security & Defense,"Jan 19, 2021"
7,Memorandum on Declassification of Certain Materials Related to the FBI’s Crossfire Hurricane Investigation,Presidential Memoranda,Law & Justice,"Jan 19, 2021"
8,President Trump Awards Presidential Commendations to Operation Warp Speed Team,Statements & Releases,Healthcare,"Jan 19, 2021"
9,Remarks by President Trump In Farewell Address to the Nation,Remarks,Other,"Jan 19, 2021"
10,Statement from the Press Secretary,Statements & Releases,Other,"Jan 19, 2021"
11,"Proclamation Terminating Restrictions on Entry of Certain Travelers from the Schengen Area, the United Kingdom, the Republic of Ireland, and Brazil",Proclamations,Immigration,"Jan 18, 2021"
12,Executive Order on Protecting The United States From Certain Unmanned Aircraft Systems,Executive Orders,National Security & Defense,"Jan 18, 2021"
13,Executive Order on Ensuring Democratic Accountability in Agency Rulemaking,Executive Orders,Law & Justice,"Jan 18, 2021"
14,1776 Commission Takes Historic and Scholarly Step to Restore Understanding of the Greatness of the American Founding,Statements & Releases,Other,"Jan 18, 2021"
15,A Farewell Message from First Lady Melania Trump,Statements & Releases,Other,"Jan 18, 2021"
16,Executive Order on Protecting Americans From Overcriminalization Through Regulatory Reform,Executive Orders,Law & Justice,"Jan 18, 2021"
17,"Executive Order on Protecting Law Enforcement Officers, Judges, Prosecutors, And Their Families",Executive Orders,Law & Justice,"Jan 18, 2021"
18,Executive Order on Building the National Garden of American Heroes,Executive Orders,Other,"Jan 18, 2021"
19,"Proclamation on National Sanctity of Human Life Day, 2021",Proclamations,Law & Justice,"Jan 18, 2021"
20,Honoring American Craftsmanship in the People’s House by First Lady Melania Trump,Other,Other,"Jan 18, 2021"
21,"Proclamation on National School Choice Week, 2021",Proclamations,Education,"Jan 17, 2021"
22,Text of a Notice on the Continuation of the National Emergency With Respect to the Southern Border of the United States,Statements & Releases,Immigration,"Jan 16, 2021"
23,"Proclamation on Martin Luther King, Jr., Federal Holiday, 2021",Proclamations,Other,"Jan 15, 2021"
24,"Proclamation on Religious Freedom Day, 2021",Proclamations,Law & Justice,"Jan 15, 2021"
25,Statement from the Press Secretary Regarding the Designations of the UAE and the Kingdom of Bahrain as Major Security Partners of the United States,Statements & Releases,Foreign Policy,"Jan 15, 2021"
26,"Statement from the Press Secretary on the Awarding of the Legion of Merit, Degree Chief Commander, to His Majesty Mohammed VI, King of Morocco",Statements & Releases,Foreign Policy,"Jan 15, 2021"
27,President Donald J. Trump Approves Colorado Disaster Declaration,Statements & Releases,Other,"Jan 15, 2021"
28,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,National Security & Defense,"Jan 15, 2021"
29,Memorandum on Space Policy Directive 7,Presidential Memoranda,Infrastructure & Technology,"Jan 15, 2021"
30,Trump Administration Issues 75th Annual Economic Report of the President,Statements & Releases,Economy & Jobs,"Jan 15, 2021"
31,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,National Security & Defense,"Jan 15, 2021"
32,Operation Warp Speed Delivers Best Early Vaccination Rate of the G20,Other,Economy & Jobs,"Jan 15, 2021"
33,Statement from the Press Secretary Regarding the National Security Presidential Memorandum on Research and Development Security,Statements & Releases,National Security & Defense,"Jan 14, 2021"
34,Presidential Memorandum on United States Government-Supported Research and Development National Security Policy,Presidential Memoranda,National Security & Defense,"Jan 14, 2021"
35,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Budget & Spending,"Jan 14, 2021"
36,Executive Order on Encouraging Buy American Policies For The United States Postal Service,Executive Orders,Economy & Jobs,"Jan 14, 2021"
37,Proclamation on the Continuation of Facilitating Positive Adjustment to Competition from Imports of Large Residential Washers,Proclamations,Economy & Jobs,"Jan 14, 2021"
38,Statement from President Donald J. Trump,Statements & Releases,National Security & Defense,"Jan 14, 2021"
39,Executive Order on Establishing The Wildland Fire Management Policy Committee,Executive Orders,Land & Agriculture,"Jan 14, 2021"
40,President Donald J. Trump Awarded the National Medal of Arts and National Humanities Medal,Statements & Releases,Other,"Jan 14, 2021"
41,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,National Security & Defense,"Jan 13, 2021"
42,Executive Order on Amending Executive Order 13959–Addressing the Threat from Securities Investments that Finance Communist Chinese Military Companies,Executive Orders,National Security & Defense,"Jan 13, 2021"
43,Bill Announcement,Statements & Releases,Law & Justice,"Jan 13, 2021"
44,Statement from the President,Statements & Releases,Law & Justice,"Jan 13, 2021"
45,President Donald J. Trump Approves Connecticut Disaster Declaration,Statements & Releases,Other,"Jan 13, 2021"
46,President Donald J. Trump Approves Georgia Disaster Declaration,Statements & Releases,Other,"Jan 13, 2021"
47,President Donald J. Trump Approves Utah Disaster Declaration,Statements & Releases,Other,"Jan 13, 2021"
48,President Donald J. Trump Approves Louisiana Disaster Declaration,Statements & Releases,Other,"Jan 13, 2021"
49,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,National Security & Defense,"Jan 12, 2021"
50,Bill Announcement,Statements & Releases,Law & Justice,"Jan 12, 2021"
51,Letter to Speaker Nancy Pelosi on 25th Amendment Resolution,Statements & Releases,Other,"Jan 12, 2021"
52,"Remarks by President Trump at the 45th Mile of New Border Wall | Reynosa-McAllen, TX",Remarks,Immigration,"Jan 12, 2021"
53,Readout from the Trump Administration’s 49th Governors Briefing on COVID-19 Response & Best Practices,Statements & Releases,Healthcare,"Jan 12, 2021"
54,Vice President Pence Statement on the Passing of Sheldon Adelson,Statements & Releases,Other,"Jan 12, 2021"
55,"Remarks by President Trump Before Air Force One Departure | Joint Base Andrews, MD",Remarks,Other,"Jan 12, 2021"
56,Remarks by President Trump Before Marine One Departure,Remarks,Other,"Jan 12, 2021"
57,Statement from the Press Secretary Regarding Small Modular Reactors for National Defense and Space Exploration,Statements & Releases,National Security & Defense,"Jan 12, 2021"
58,Executive Order on Promoting Small Modular Reactors for National Defense and Space Exploration,Executive Orders,National Security & Defense,"Jan 12, 2021"
59,Statement from the President,Statements & Releases,Other,"Jan 12, 2021"
60,The White House Launches the National Artificial Intelligence Initiative Office,Statements & Releases,Infrastructure & Technology,"Jan 12, 2021"
61,President Donald J. Trump Approves District of Columbia Emergency Declaration,Statements & Releases,Other,"Jan 11, 2021"
62,President Donald J. Trump to Award the Medal of Freedom to Jim Jordan,Statements & Releases,Other,"Jan 11, 2021"
63,Economic Report Card for the Affordable Care Act’s Employer Mandate,Other,Economy & Jobs,"Jan 11, 2021"
64,December Job Losses Driven by Leisure and Hospitality Industry,Other,Economy & Jobs,"Jan 11, 2021"
65,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,National Security & Defense,"Jan 11, 2021"
66,First Lady Melania Trump: Our Path Forward,Other,Other,"Jan 11, 2021"
67,Proclamation on Honoring United States Capitol Police Officers,Proclamations,Law & Justice,"Jan 10, 2021"
68,Memorandum on Providing an Order of Succession Within the United States International Development Finance Corporation,Presidential Memoranda,Other,"Jan 8, 2021"
69,Executive Order on Providing an Order of Succession Within the Environmental Protection Agency,Executive Orders,Energy & Environment,"Jan 8, 2021"
70,Statement from the Press Secretary,Other,Other,"Jan 7, 2021"
71,Remarks by Press Secretary Kayleigh McEnany,Remarks,Other,"Jan 7, 2021"
72,Statement from the Press Secretary,Statements & Releases,Other,"Jan 7, 2021"
73,Three Nominations and One Withdrawal Sent to the Senate,Nominations & Appointments,Other,"Jan 7, 2021"
74,The Trump Administration Is Achieving Environmental Progress While Saving Taxpayer Dollars,Other,Other,"Jan 6, 2021"
75,Statement from the Press Secretary,Statements & Releases,Law & Justice,"Jan 5, 2021"
76,Memorandum on Inadmissibility of Persons Affiliated with Antifa Based on Organized Criminal Activity,Presidential Memoranda,Law & Justice,"Jan 5, 2021"
77,Statement from National Security Advisor Robert C. O’Brien on the Executive Order Addressing Chinese Software Applications,Statements & Releases,National Security & Defense,"Jan 5, 2021"
78,Bill Announcement,Statements & Releases,Other,"Jan 5, 2021"
79,Message to the Congress on Addressing the Threat Posed By Applications and Other Software Developed or Controlled By Chinese Companies,Statements & Releases,National Security & Defense,"Jan 5, 2021"
80,Executive Order Addressing the Threat Posed By Applications and Other Software Developed or Controlled By Chinese Companies,Executive Orders,National Security & Defense,"Jan 5, 2021"
81,President Donald J. Trump Approves Tennessee Emergency Declaration,Statements & Releases,Land & Agriculture,"Jan 5, 2021"
82,President Donald J. Trump Announces Additional Support for the People of Puerto Rico as They Continue to Rebuild Following Natural Disasters,Statements & Releases,Land & Agriculture,"Jan 5, 2021"
83,"President Trump’s Bold Vision Will Help Conserve, Manage, and Explore America’s Oceans",Other,Energy & Environment,"Jan 5, 2021"
84,Statement from National Security Advisor Robert C. O’Brien Regarding the National Maritime Cybersecurity Plan,Statements & Releases,National Security & Defense,"Jan 5, 2021"
85,Bill Announcement,Statements & Releases,Other,"Jan 5, 2021"
86,President Trump Announces Presidential Delegation to Attend the Inauguration of His Excellency Nana Addo Dankwa Akufo-Addo,Statements & Releases,Foreign Policy,"Jan 4, 2021"
87,Administration Issues Annual Intellectual Property Report,Statements & Releases,Infrastructure & Technology,"Jan 4, 2021"
88,President Donald J. Trump to Award the Medal of Freedom to Devin Nunes,Statements & Releases,Other,"Jan 4, 2021"
89,Thirty Nominations Sent to the Senate,Nominations & Appointments,Other,"Jan 3, 2021"
90,Presidential Veto Message to the United States Senate for S. 906,Statements & Releases,Energy & Environment,"Jan 1, 2021"
91,Bill Announcement,Statements & Releases,Land & Agriculture,"Jan 1, 2021"
92,"Presidential Message on National Stalking Awareness Month, 2021",Statements & Releases,Law & Justice,"Jan 1, 2021"
93,"Presidential Message on National Mentoring Month, 2021",Statements & Releases,Education,"Jan 1, 2021"
94,President Donald J. Trump Approves Mississippi Disaster Declaration,Statements & Releases,Land & Agriculture,"Dec 31, 2020"
95,Statement by the President,Statements & Releases,Other,"Dec 31, 2020"
96,Statement by the President,Statements & Releases,Energy & Environment,"Dec 31, 2020"
97,Executive Order on Adjustments of Certain Rates of Pay,Executive Orders,Budget & Spending,"Dec 31, 2020"
98,Proclamation on Suspension of Entry of Immigrants and Nonimmigrants Who Continue to Present a Risk to the United States Labor Market,Proclamations,Immigration,"Dec 31, 2020"
99,"Proclamation on National Slavery and Human Trafficking Prevention Month, 2021",Proclamations,Law & Justice,"Dec 31, 2020"
100,Presidential Permit,Presidential Memoranda,Infrastructure & Technology,"Dec 31, 2020"
101,Bill Announcement,Statements & Releases,Law & Justice,"Dec 30, 2020"
102,Memorandum on Extension of Memorandum on Visa Sanctions,Presidential Memoranda,Immigration,"Dec 30, 2020"
103,Bill Announcement,Statements & Releases,Other,"Dec 30, 2020"
104,Two Withdrawals Sent to the Senate,Nominations & Appointments,Other,"Dec 30, 2020"
105,Statement from the Press Secretary,Statements & Releases,Healthcare,"Dec 29, 2020"
106,Statement from the Press Secretary,Statements & Releases,Healthcare,"Dec 29, 2020"
107,Proclamation on 850th Anniversary of the Martyrdom of Saint Thomas Becket,Proclamations,Other,"Dec 28, 2020"
108,President Donald J. Trump Is Expanding Educational Opportunity For America’s Children And Families Impacted By The Pandemic,Statements & Releases,Education,"Dec 28, 2020"
109,Executive Order on Expanding Educational Opportunity Through School Choice,Executive Orders,Education,"Dec 28, 2020"
110,Letter from the President to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Budget & Spending,"Dec 27, 2020"
111,Letter from the President to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Budget & Spending,"Dec 27, 2020"
112,Statement from the President,Statements & Releases,Budget & Spending,"Dec 27, 2020"
113,Bill Announcement,Statements & Releases,Budget & Spending,"Dec 27, 2020"
114,"President Trump Announces Presidential Delegation to Attend the Inauguration of His Excellency Roch Marc Christian Kaboré, President of Burkina Faso",Statements & Releases,Foreign Policy,"Dec 27, 2020"
115,"Presidential Message on Kwanzaa, 2020",Statements & Releases,Other,"Dec 26, 2020"
116,"Presidential Message on Christmas, 2020",Statements & Releases,Other,"Dec 25, 2020"
117,Statement by the President,Statements & Releases,Other,"Dec 23, 2020"
118,Statement by the President,Statements & Releases,Energy & Environment,"Dec 23, 2020"
119,Bill Announcement,Statements & Releases,Other,"Dec 23, 2020"
120,Statement from the Press Secretary Regarding Executive Grants of Clemency,Statements & Releases,Law & Justice,"Dec 23, 2020"
121,Presidential Veto Message to the House of Representatives for H.R. 6395,Statements & Releases,Budget & Spending,"Dec 23, 2020"
122,Bill Announcement,Statements & Releases,Other,"Dec 22, 2020"
123,Statement from the Press Secretary Regarding Executive Grants of Clemency,Statements & Releases,Law & Justice,"Dec 22, 2020"
124,Proclamation to Take Certain Actions Under the African Growth and Opportunity Act and for Other Purposes,Proclamations,Economy & Jobs,"Dec 22, 2020"
125,Memorandum on the Attorney General’s Authority to Use Classified Information in Connection with Review of Intelligence Activities,Presidential Memoranda,Other,"Dec 22, 2020"
126,Statement from ONDCP Director Carroll on Release of 2019 Drug Mortality Data,Statements & Releases,Healthcare,"Dec 22, 2020"
127,President Donald J. Trump Announces Intent to Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Dec 22, 2020"
128,Bill Announcement,Statements & Releases,Budget & Spending,"Dec 22, 2020"
129,Bill Announcement,Statements & Releases,Other,"Dec 21, 2020"
130,Readout from the Trump Administration’s 45th Governors Briefing on COVID-19 Response & Best Practices,Statements & Releases,Healthcare,"Dec 21, 2020"
131,President Donald J. Trump Approves Oklahoma Disaster Declaration,Statements & Releases,Land & Agriculture,"Dec 21, 2020"
132,Executive Order on Promoting Beautiful Federal Civic Architecture,Executive Orders,Other,"Dec 21, 2020"
133,Bill Announcement,Statements & Releases,Budget & Spending,"Dec 20, 2020"
134,Presidential Message on the First Birthday of the United States Space Force,Statements & Releases,Other,"Dec 20, 2020"
135,Bill Announcement,Statements & Releases,Budget & Spending,"Dec 18, 2020"
136,Statement from the Press Secretary,Statements & Releases,Other,"Dec 18, 2020"
137,Executive Order Promoting Redemption of Savings Bonds,Executive Orders,Economy & Jobs,"Dec 18, 2020"
138,Remarks by Vice President Pence at the Space Force’s 1st Birthday Celebration,Remarks,National Security & Defense,"Dec 18, 2020"
139,Statement by the President,Statements & Releases,Energy & Environment,"Dec 18, 2020"
140,Bill Announcement,Statements & Releases,Other,"Dec 18, 2020"
141,President Donald J. Trump Announces Intent to Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Dec 18, 2020"
142,Remarks by Vice President Pence at a Safe and Effective Vaccine Confidence Event,Remarks,Healthcare,"Dec 18, 2020"
143,ONDCP Director Carroll’s Statement on 2020 Monitoring the Future Survey & Trends in Youth Substance Misuse,Statements & Releases,Healthcare,"Dec 18, 2020"
144,Bill Announcement,Statements & Releases,Other,"Dec 17, 2020"
145,Bill Announcement,Statements & Releases,Other,"Dec 17, 2020"
146,Three Nominations and One Withdrawal Sent to the Senate,Nominations & Appointments,Other,"Dec 17, 2020"
147,"Proclamation on Wright Brothers Day, 2020",Proclamations,Other,"Dec 16, 2020"
148,Vice President Mike Pence to Publicly Receive COVID-19 Vaccine to Build Confidence Among Americans,Statements & Releases,Healthcare,"Dec 16, 2020"
149,Message to the Congress on the Continuation of the National Emergency with Respect to Serious Human Rights Abuse and Corruption,Statements & Releases,Law & Justice,"Dec 16, 2020"
150,Text of a Notice on the Continuation of the National Emergency with Respect to Serious Human Rights Abuse and Corruption,Statements & Releases,Law & Justice,"Dec 16, 2020"
151,Remarks by Vice President Pence at a Life is Winning Event,Remarks,Other,"Dec 16, 2020"
152,President Donald J. Trump Announces Intent to Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Dec 16, 2020"
153,Memorandum on the National Strategy for Space Nuclear Power and Propulsion (Space Policy Directive-6),Presidential Memoranda,Infrastructure & Technology,"Dec 16, 2020"
154,"Press Briefing by Press Secretary Kayleigh McEnany | 12/15/2020, #41",Press Briefings,Other,"Dec 16, 2020"
155,Readout from First Lady Melania Trump’s Visit to Children’s National Hospital,Statements & Releases,Other,"Dec 15, 2020"
156,"Remarks by Vice President Pence at a Roundtable Discussion on Operation Warp Speed | Bloomington, IN",Remarks,Healthcare,"Dec 15, 2020"
157,Readout from the Trump Administration’s 44th Governors Briefing on COVID-19 Response & Best Practices,Statements & Releases,Healthcare,"Dec 14, 2020"
158,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Dec 14, 2020"
159,Executive Order on Increasing Economic and Geographic Mobility,Executive Orders,Economy & Jobs,"Dec 14, 2020"
160,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Dec 14, 2020"
161,Presidential Message on the Occasion of the 60th Anniversary Commemoration of the Organisation for Economic Co-operation and Development,Statements & Releases,Foreign Policy,"Dec 14, 2020"
162,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Dec 14, 2020"
163,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Dec 13, 2020"
164,Bill Announcement,Statements & Releases,Land & Agriculture,"Dec 12, 2020"
165,Statement from the Press Secretary,Statements & Releases,Healthcare,"Dec 11, 2020"
166,President Donald J. Trump Approves New Jersey Disaster Declaration,Other,Land & Agriculture,"Dec 11, 2020"
167,Statement from the Press Secretary,Statements & Releases,Other,"Dec 11, 2020"
168,Bill Announcement,Statements & Releases,Budget & Spending,"Dec 11, 2020"
169,President Donald J. Trump Has Brokered Peace Between Israel and the Kingdom of Morocco,Fact Sheets,Foreign Policy,"Dec 11, 2020"
170,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Dec 11, 2020"
171,President Donald J. Trump Announces Intent to Appoint the Following Individuals to Key Administration Posts,Nominations & Appointments,Other,"Dec 11, 2020"
172,"Executive Order on Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2020",Executive Orders,Other,"Dec 11, 2020"
173,President Donald J. Trump Approves Alabama Disaster Declaration,Statements & Releases,Land & Agriculture,"Dec 10, 2020"
174,One Nomination Sent to the Senate,Nominations & Appointments,Other,"Dec 10, 2020"
175,"Remarks by Vice President Pence at Roundtable Discussion on COVID-19 Vaccine Progress and Distribution Stage | Greenville, SC",Remarks,Healthcare,"Dec 10, 2020"
176,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Dec 10, 2020"
177,Executive Order on Providing an Order of Succession within the Department of Defense,Executive Orders,Other,"Dec 10, 2020"
178,Memorandum on Providing an Order of Succession Within the Office of Personnel Management,Presidential Memoranda,Other,"Dec 10, 2020"
179,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Dec 10, 2020"
180,Executive Order on Rebranding United States Foreign Assistance to Advance American Influence,Executive Orders,Foreign Policy,"Dec 10, 2020"
181,Proclamation on Recognizing The Sovereignty Of The Kingdom Of Morocco Over The Western Sahara,Proclamations,Foreign Policy,"Dec 10, 2020"
182,Trump Administration Announces Most DFCs in History With Third Phase of FY 2020 Drug-Free Communities Grant Awards,Statements & Releases,Healthcare,"Dec 10, 2020"
183,"Presidential Message on Hanukkah, 2020",Statements & Releases,Other,"Dec 10, 2020"
184,President Donald J. Trump Approves Texas Disaster Declaration,Statements & Releases,Land & Agriculture,"Dec 9, 2020"
185,"Remarks by Vice President Pence at the 8th Meeting of the National Space Council | Cape Canaveral, FL",Remarks,National Security & Defense,"Dec 9, 2020"
186,President Donald J. Trump Announces Judicial Nominee,Nominations & Appointments,Law & Justice,"Dec 9, 2020"
187,"Remarks by Vice President Pence at Installation Renaming Ceremony | Cape Canaveral, FL",Remarks,National Security & Defense,"Dec 9, 2020"
188,President Donald J. Trump Continues to Advance American Leadership in Space,Fact Sheets,Infrastructure & Technology,"Dec 9, 2020"
189,Statement from the President on the National Space Policy,Statements & Releases,National Security & Defense,"Dec 9, 2020"
190,Memorandum on The National Space Policy,Presidential Memoranda,Infrastructure & Technology,"Dec 9, 2020"
191,Remarks by Vice President Pence at the Operation Warp Speed Vaccine Summit,Remarks,Healthcare,"Dec 8, 2020"
192,One Nomination Sent to the Senate,Nominations & Appointments,Other,"Dec 8, 2020"
193,Statement from the President Regarding the Passing of Chuck Yeager,Statements & Releases,Other,"Dec 8, 2020"
194,Remarks by President Trump at the Operation Warp Speed Vaccine Summit,Remarks,Healthcare,"Dec 8, 2020"
195,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,National Security & Defense,"Dec 8, 2020"
196,Executive Order on Ensuring Access to United States Government COVID-19 Vaccines,Executive Orders,Healthcare,"Dec 8, 2020"
197,President Donald J. Trump’s Effort To Provide Americans With A Safe And Effective Vaccine Is Delivering Results,Fact Sheets,Healthcare,"Dec 8, 2020"
198,President Donald J. Trump Announces Intent to Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Dec 8, 2020"
199,ONDCP Statement on President Trump Signing of Rodchenkov Act,Statements & Releases,Healthcare,"Dec 8, 2020"
200,Executive Order on Governance and Integration of Federal Mission Resilience,Executive Orders,National Security & Defense,"Dec 7, 2020"
201,Remarks by President Trump at the Presentation of the Presidential Medal of Freedom to Dan Gable,Statements & Releases,Other,"Dec 7, 2020"
202,First Lady Melania Trump Announces Completion of the New White House Tennis Pavilion,Statements & Releases,Other,"Dec 7, 2020"
203,Presidential Message on the 155th Anniversary of the Ratification of the 13th Amendment,Statements & Releases,Law & Justice,"Dec 6, 2020"
204,Statement by the President,Statements & Releases,Veterans,"Dec 5, 2020"
205,Bill Announcement,Statements & Releases,Veterans,"Dec 5, 2020"
206,"Proclamation on Human Rights Day, Bill of Rights Day, and Human Rights Week, 2020",Proclamations,Law & Justice,"Dec 4, 2020"
207,"Proclamation on National Pearl Harbor Remembrance Day, 2020",Proclamations,Other,"Dec 4, 2020"
208,Statement by the President,Statements & Releases,Law & Justice,"Dec 4, 2020"
209,Bill Announcement,Statements & Releases,Law & Justice,"Dec 4, 2020"
210,"Remarks by Vice President Pence in a Roundtable Discussion on Vaccine Distribution | Atlanta, GA",Remarks,Healthcare,"Dec 4, 2020"
211,President Donald J. Trump to Award the Medal of Freedom to Dan Gable,Statements & Releases,Other,"Dec 4, 2020"
212,Memorandum on Extension of Governors’ Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery (Iowa),Presidential Memoranda,Economy & Jobs,"Dec 3, 2020"
213,Bill Announcement,Statements & Releases,Other,"Dec 3, 2020"
214,Promoting the Use of Trustworthy Artificial Intelligence in Government,Other,Infrastructure & Technology,"Dec 3, 2020"
215,Bill Announcement,Statements & Releases,Infrastructure & Technology,"Dec 3, 2020"
216,Executive Order on Promoting the Use of Trustworthy Artificial Intelligence in the Federal Government,Executive Orders,Infrastructure & Technology,"Dec 3, 2020"
217,Memorandum on Extension of Governors’ Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery,Presidential Memoranda,Economy & Jobs,"Dec 3, 2020"
218,President Donald J. Trump Announces Intent to Appoint the Following Individuals to Key Administration Posts,Nominations & Appointments,Other,"Dec 3, 2020"
219,Remarks by President Trump at the Presentation of the Presidential Medal of Freedom to Lou Holtz,Remarks,Other,"Dec 3, 2020"
220,"Presidential Message on International Day of Persons with Disabilities, 2020",Statements & Releases,Healthcare,"Dec 3, 2020"
221,Three Nominations Sent to the Senate,Nominations & Appointments,Other,"Dec 2, 2020"
222,Three Nominations Sent to the Senate,Nominations & Appointments,Other,"Dec 2, 2020"
223,Second Lady Karen Pence Hosts a Virtual  Business Summit on Military Spouse Employment Solutions,Statements & Releases,Veterans,"Dec 2, 2020"
224,Press Briefing by Press Secretary Kayleigh McEnany,Press Briefings,Other,"Dec 2, 2020"
225,President Donald J. Trump to Award the Medal of Freedom to Lou Holtz,Statements & Releases,Other,"Dec 2, 2020"
226,Presidential Message on #GivingTuesday,Statements & Releases,Other,"Dec 1, 2020"
227,"Proclamation on National Impaired Driving Prevention Month, 2020",Proclamations,Law & Justice,"Nov 30, 2020"
228,"Proclamation on World AIDS Day, 2020",Proclamations,Healthcare,"Nov 30, 2020"
229,Readout from the Trump Administration’s 43rd Governors Briefing on COVID-19 Response & Best Practices,Statements & Releases,Healthcare,"Nov 30, 2020"
230,Four Nominations Sent to the Senate,Nominations & Appointments,Other,"Nov 30, 2020"
231,Second Lady Karen Pence Unveils the 2020 Christmas Decorations at the Vice President’s Residence,Statements & Releases,Other,"Nov 30, 2020"
232,First Lady Melania Trump Unveils the 2020 White House Christmas Décor,Statements & Releases,Other,"Nov 30, 2020"
233,Remarks by President Trump During Thanksgiving Video Teleconference with Members of the Military,Remarks,Other,"Nov 27, 2020"
234,One Nomination Sent to the Senate,Nominations & Appointments,Other,"Nov 27, 2020"
235,Statement from the Press Secretary Regarding Executive Grant of Clemency for General Michael T. Flynn,Statements & Releases,Law & Justice,"Nov 25, 2020"
236,"Proclamation on Thanksgiving Day, 2020",Proclamations,Other,"Nov 25, 2020"
237,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts,Nominations & Appointments,Other,"Nov 24, 2020"
238,Remarks by President Trump at the National Thanksgiving Turkey Pardoning Ceremony,Remarks,Other,"Nov 24, 2020"
239,Remarks by President Trump on the Economy,Remarks,Economy & Jobs,"Nov 24, 2020"
240,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Foreign Policy,"Nov 24, 2020"
241,Text of a Notice on the Continuation of the National Emergency with Respect to the Situation in Nicaragua,Statements & Releases,Foreign Policy,"Nov 24, 2020"
242,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Nov 22, 2020"
243,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Nov 21, 2020"
244,"Proclamation on National Family Week, 2020",Proclamations,Other,"Nov 20, 2020"
245,Remarks by President Trump on Delivering Lower Prescription Drug Prices for All Americans,Remarks,Healthcare,"Nov 20, 2020"
246,First Lady Melania Trump Unveils Sculpture Installation in the White House Rose Garden,Statements & Releases,Other,"Nov 20, 2020"
247,Press Briefing by Press Secretary Kayleigh McEnany | 11/20/2020,Press Briefings,Other,"Nov 20, 2020"
248,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Nov 20, 2020"
249,"Press Briefing by Vice President Pence and Members of the Coronavirus Task Force | November 19, 2020",Press Briefings,Healthcare,"Nov 19, 2020"
250,"Presidential Message on Antibiotic Awareness Week, 2020",Statements & Releases,Healthcare,"Nov 18, 2020"
251,President Donald J. Trump Announces Intent to Nominate and Appoint the Following Individuals to Key Administration Posts,Nominations & Appointments,Other,"Nov 17, 2020"
252,Readout from the Trump Administration’s 41st Governors Briefing on COVID-19 Response & Best Practices,Statements & Releases,Healthcare,"Nov 17, 2020"
253,Two Nominations Sent to the Senate,Nominations & Appointments,Law & Justice,"Nov 16, 2020"
254,"Presidential Message on America Recycles Day, 2020",Statements & Releases,Energy & Environment,"Nov 15, 2020"
255,Presidential Message on Diwali,Statements & Releases,Other,"Nov 14, 2020"
256,Remarks by Vice President Pence at the Council for National Policy Meeting,Statements & Releases,Law & Justice,"Nov 14, 2020"
257,Joint Statement on Human Capital Development at the 8th ASEAN-U.S. Summit,Statements & Releases,Foreign Policy,"Nov 13, 2020"
258,"Proclamation on American Education Week, 2020",Proclamations,Education,"Nov 13, 2020"
